Item #,Data Order,Data Element,Form Version,Packet,Form ID,UDS Question,Data Type,Data Length,Column 1,Column 2,RANGE1,RANGE2,MISS1,MISS2,MISS3,MISS4,MISS5,MISS6,VAL1,VAL2,VAL3,VAL4,VAL5,VAL6,VAL7,VAL8,VAL9,VAL10,VAL11,VAL12,VAL1D,VAL2D,VAL3D,VAL4D,VAL5D,VAL6D,VAL7D,VAL8D,VAL9D,VAL10D,VAL11D,VAL12D,BLANKS1,BLANKS2,BLANKS3,BLANKS4,BLANKS5,SKIPS1,SKIPS2
6a,11,ANX,3,I,B5,"ANXIETY: Does the patient become upset when separated from you? Does he or she have any other signs of nervousness, such as shortness of breath, sighing, being unable to relax, or feeling excessively tense?",Num,1,124,124,0,1,9,.,.,.,.,.,0,1,9,.,.,.,.,.,.,.,.,.,No,Yes,Unknown,,,,,,,,,,,,,,,,
6b,12,ANXSEV,3,I,B5,"If ANXIETY, rate severity",Num,1,126,126,1,3,9,.,.,.,.,.,1,2,3,9,.,.,.,.,.,.,.,.,"Mild (noticeable, but not a significant change)","Moderate (significant, but not a dramatic change)",Severe (very marked or prominent a dramatic change),Unknown,,,,,,,,,Blank if Question 6a ANX ne 1 (Yes),,,,,,
7a,13,ELAT,3,I,B5,ELATION OR EUPHORIA: Does the patient appear to feel too good or act excessively happy?,Num,1,128,128,0,1,9,.,.,.,.,.,0,1,9,.,.,.,.,.,.,.,.,.,No,Yes,Unknown,,,,,,,,,,,,,,,,
7b,14,ELATSEV,3,I,B5,"If ELATION OR EUPHORIA, rate severity",Num,1,130,130,1,3,9,.,.,.,.,.,1,2,3,9,.,.,.,.,.,.,.,.,"Mild (noticeable, but not a significant change)","Moderate (significant, but not a dramatic change)",Severe (very marked or prominent a dramatic change),Unknown,,,,,,,,,Blank if Question 7a ELAT ne 1 (Yes),,,,,,
8a,15,APA,3,I,B5,APATHY OR INDIFFERENCE: Does the patient seem less interested in his or her usual activities and in the activities and plans of others?,Num,1,132,132,0,1,9,.,.,.,.,.,0,1,9,.,.,.,.,.,.,.,.,.,No,Yes,Unknown,,,,,,,,,,,,,,,,
8b,16,APASEV,3,I,B5,"If APATHY OR INDIFFERENCE, rate severity",Num,1,134,134,1,3,9,.,.,.,.,.,1,2,3,9,.,.,.,.,.,.,.,.,"Mild (noticeable, but not a significant change)","Moderate (significant, but not a dramatic change)",Severe (very marked or prominent a dramatic change),Unknown,,,,,,,,,Blank if Question 8a APA ne 1 (Yes),,,,,,
9a,17,DISN,3,I,B5,"DISINHIBITION: Does the patient seem to act impulsively? For example, does the patient talk to strangers as if he or she knows them, or does the patient say things that may hurt people's feelings?",Num,1,136,136,0,1,9,.,.,.,.,.,0,1,9,.,.,.,.,.,.,.,.,.,No,Yes,Unknown,,,,,,,,,,,,,,,,
9b,18,DISNSEV,3,I,B5,"If DISINHIBITION, rate severity:",Num,1,138,138,1,3,9,.,.,.,.,.,1,2,3,9,.,.,.,.,.,.,.,.,"Mild (noticeable, but not a significant change)","Moderate (significant, but not a dramatic change)",Severe (very marked or prominent a dramatic change),Unknown,,,,,,,,,Blank if Question 9a DISN ne 1 (Yes),,,,,,
10a,19,IRR,3,I,B5,IRRITABILITY OR LABILITY: Is the patient impatient or cranky? Does he or she have difficulty coping with delays or waiting for planned activities?,Num,1,140,140,0,1,9,.,.,.,.,.,0,1,9,.,.,.,.,.,.,.,.,.,No,Yes,Unknown,,,,,,,,,,,,,,,,
10b,20,IRRSEV,3,I,B5,"If IRRITABILITY OR LABILITY, rate severity",Num,1,142,142,1,3,9,.,.,.,.,.,1,2,3,9,.,.,.,.,.,.,.,.,"Mild (noticeable, but not a significant change)","Moderate (significant, but not a dramatic change)",Severe (very marked or prominent a dramatic change),Unknown,,,,,,,,,Blank if Question 10a IRR ne 1 (Yes),,,,,,
11a,21,MOT,3,I,B5,"MOTOR DISTURBANCE: Does the patient engage in repetitive activities, such as pacing around the house, handling buttons, wrapping string, or doing other things repeatedly?",Num,1,144,144,0,1,9,.,.,.,.,.,0,1,9,.,.,.,.,.,.,.,.,.,No,Yes,Unknown,,,,,,,,,,,,,,,,
11b,22,MOTSEV,3,I,B5,"If MOTOR DISTURBANCE, rate severity",Num,1,146,146,1,3,9,.,.,.,.,.,1,2,3,9,.,.,.,.,.,.,.,.,"Mild (noticeable, but not a significant change)","Moderate (significant, but not a dramatic change)",Severe (very marked or prominent a dramatic change),Unknown,,,,,,,,,Blank if Question 11a MOT ne 1 (Yes),,,,,,
12a,23,NITE,3,I,B5,"NIGHTTIME BEHAVIORS: Does the patient awaken you during the night, rise too early in the morning, or take excessive naps during the day?",Num,1,148,148,0,1,9,.,.,.,.,.,0,1,9,.,.,.,.,.,.,.,.,.,No,Yes,Unknown,,,,,,,,,,,,,,,,
12b,24,NITESEV,3,I,B5,"If NIGHTTIME BEHAVIORS, rate severity:",Num,1,150,150,1,3,9,.,.,.,.,.,1,2,3,9,.,.,.,.,.,.,.,.,"Mild (noticeable, but not a significant change)","Moderate (significant, but not a dramatic change)",Severe (very marked or prominent a dramatic change),Unknown,,,,,,,,,Blank if Question 12a NITE ne 1 (Yes),,,,,,
13a,25,APP,3,I,B5,"APPETITE AND EATING: Has the patient lost or gained weight, or had a change in the food he or she likes?",Num,1,152,152,0,1,9,.,.,.,.,.,0,1,9,.,.,.,.,.,.,.,.,.,No,Yes,Unknown,,,,,,,,,,,,,,,,
13b,26,APPSEV,3,I,B5,"If APPETITE AND EATING, rate severity:",Num,1,154,154,1,3,9,.,.,.,.,.,1,2,3,9,.,.,.,.,.,.,.,.,"Mild (noticeable, but not a significant change)","Moderate (significant, but not a dramatic change)",Severe (very marked or prominent a dramatic change),Unknown,,,,,,,,,Blank if Question 13a APP ne 1 (Yes),,,,,,
